Gene	Chondrus_crispus	Gracilaria-caudata	Gracilaria-chilensis	Gracilaria-gracilis	Gracilaria-vermiculophylla
Gracilaria-chilensis$Gchil4549.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil4538.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6416.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6419.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6420.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6421.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6417.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6418.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil6422.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil694.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil696.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil688.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil689.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil691.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil690.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil693.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil695.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil687.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1300.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1336.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1355.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1328.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1326.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1330.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1309.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1320.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1291.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1313.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1343.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1305.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1303.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1346.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1283.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1316.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1339.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1339.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1357.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1301.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1284.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1324.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1323.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1307.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1307.t1	0	1	1	0	0
Gracilaria-chilensis$Gchil1292.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1354.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1345.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1345.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1345.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1352.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1322.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1297.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1310.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1331.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1298.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1311.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1293.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1317.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1350.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1358.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1289.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1302.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1302.t1	0	1	1	0	0
Gracilaria-chilensis$Gchil1302.t1	0	0	1	1	0
Gracilaria-chilensis$Gchil1302.t1	0	0	1	0	1
Gracilaria-chilensis$Gchil1290.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1334.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1337.t1	0	0	1	0	0
Gracilaria-chilensis$Gchil1351.t1	0	0	1	0	0
Gracilaria-gracilis$Ggra4878.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1380.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1335.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1316.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1315.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1310.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1391.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1369.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1367.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1392.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1325.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1325.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1325.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra1325.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra1322.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1322.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1345.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1334.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1302.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1302.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1302.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra1302.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra1314.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1314.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1307.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1347.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1382.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1376.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1348.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1370.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1327.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1341.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1394.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1365.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1318.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1344.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1344.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1329.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1354.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1308.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1308.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1372.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1320.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1320.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1320.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra1303.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1368.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1317.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1349.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1362.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1395.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1328.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1326.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1326.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1339.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1375.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1383.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1371.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1338.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1393.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1330.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1385.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1353.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1353.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1378.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1378.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1357.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1343.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1340.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1332.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1332.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1332.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra1332.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra1359.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1336.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1337.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1390.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1377.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1377.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1342.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1361.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1306.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1351.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1311.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1352.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1331.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1386.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1373.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1305.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1305.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra3049.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra3053.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra3051.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra3055.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra8736.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra1602.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1602.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1601.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1603.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1603.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1136.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1151.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1154.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1154.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1146.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1148.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1155.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1145.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1134.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1153.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1156.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1152.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1133.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1132.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1143.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1139.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1144.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1140.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1149.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1137.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1142.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1142.t2	0	0	0	1	0
Gracilaria-gracilis$Ggra1138.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1131.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1147.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1147.t1	0	1	0	1	0
Gracilaria-gracilis$Ggra1147.t1	0	0	0	1	1
Gracilaria-gracilis$Ggra1147.t1	0	0	1	1	0
Gracilaria-gracilis$Ggra1150.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra6915.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra6913.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra6917.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1610.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1621.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1616.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1618.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1613.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1611.t1	0	0	0	1	0
Gracilaria-gracilis$Ggra1617.t1	0	0	0	1	0
